Length,Freq,Freq_norm,Freq_model
1.0,1285.0,0.05926301711017848,0.040275821776510845
2.0,1696.0,0.07821795876954296,0.07281591873857715
3.0,2032.0,0.09371396946916939,0.09509553711011609
4.0,2226.0,0.10266107088502513,0.10414349369761768
5.0,2018.0,0.09306830235668496,0.10289772445386036
6.0,1866.0,0.08605820227828252,0.09525166876114126
7.0,1764.0,0.08135405617303879,0.08441024015283308
8.0,1484.0,0.06844071392335009,0.07257046166895197
9.0,1450.0,0.06687266522160218,0.0610597936160065
10.0,1196.0,0.055158419037956,0.05057867466707162
11.0,916.0,0.042245076788267305,0.04142046383153032
12.0,811.0,0.037402573444634046,0.033635996840279014
13.0,629.0,0.029008900982336393,0.027144863626122517
14.0,463.0,0.021353133791449524,0.021805484348790854
15.0,426.0,0.01964672785131209,0.017456502391227525
16.0,345.0,0.015911082414795,0.013939506079314722
17.0,250.0,0.011529769865793479,0.011110220576012755
18.0,174.0,0.008024719826592261,0.00884292913895192
19.0,118.0,0.005442051376654522,0.007031144357895331
20.0,99.0,0.004565788866854217,0.005586369196327571
21.0,98.0,0.0045196697873910435,0.004436023532539885
22.0,81.0,0.003735645436517087,0.0035211355950809787
23.0,48.0,0.002213715814232348,0.0027941105273536224
24.0,40.0,0.0018447631785269566,0.0022167209948652177
25.0,41.0,0.0018908822579901305,0.0017583711177226937
26.0,31.0,0.0014296914633583914,0.0013946354566916693
27.0,19.0,0.0008762625098003043,0.001106050837572995
28.0,10.0,0.00046119079463173915,0.0008771292307342081
29.0,14.0,0.0006456671124844348,0.0006955580329436263
30.0,8.0,0.0003689526357053913,0.0005515560564076787
31.0,9.0,0.00041507171516856525,0.00043735713742431757
32.0,6.0,0.0002767144767790435,0.0003467973576694059
33.0,6.0,0.0002767144767790435,0.0002749858272529429
34.0,7.0,0.0003228335562422174,0.00021804253909275215
35.0,3.0,0.00013835723838952175,0.00017288987520850137
36.0,2.0,9.223815892634782e-05,0.00013708692525986568
37.0,2.0,9.223815892634782e-05,0.00010869790724990616
38.0,1.0,4.611907946317391e-05,8.618771766181772e-05
39.0,4.0,0.00018447631785269565,6.833904405999289e-05
40.0,0.0,0.0,5.418660410125281e-05
41.0,0.0,0.0,4.2964980983368285e-05
42.0,2.0,9.223815892634782e-05,3.4067249181080715e-05
43.0,1.0,4.611907946317391e-05,2.7012161333055183e-05
44.0,0.0,0.0,2.141812642987382e-05
45.0,0.0,0.0,1.6982574636186895e-05
46.0,2.0,9.223815892634782e-05,1.3465594213763513e-05
47.0,0.0,0.0,1.0676956390422674e-05
48.0,0.0,0.0,8.465826875838431e-06
49.0,0.0,0.0,6.712607819662429e-06
50.0,0.0,0.0,5.322469114387354e-06
