Length,Freq,Freq_norm,Freq_model
1.0,548.0,0.05167861184458695,0.03677367375034862
2.0,795.0,0.07497170878913617,0.0677007158944983
3.0,1001.0,0.09439834024896265,0.08971617394344736
4.0,989.0,0.09326669181440966,0.09952370720073761
5.0,914.0,0.08619388909845341,0.09954736889496124
6.0,940.0,0.08864579403998492,0.09328139657196004
7.0,849.0,0.08006412674462467,0.08369293819594169
8.0,742.0,0.06997359486986043,0.07286970044091728
9.0,682.0,0.06431535269709543,0.06211253723077857
10.0,638.0,0.06016597510373444,0.052140714973440846
11.0,448.0,0.042248208223311955,0.043286727414503595
12.0,384.0,0.036212749905695965,0.035645877088395596
13.0,326.0,0.03074311580535647,0.029179643515791803
14.0,261.0,0.024613353451527726,0.023782264865022686
15.0,217.0,0.02046397585816673,0.019321159481622226
16.0,167.0,0.015748774047529234,0.01565997892232208
17.0,160.0,0.015088645794039984,0.012670704084270698
18.0,125.0,0.011788004526593739,0.010239137360732741
19.0,104.0,0.00980761976612599,0.008266604645502022
20.0,58.0,0.005469634100339495,0.006669616194085205
21.0,56.0,0.005281026027913994,0.0053785346257908305
22.0,39.0,0.0036778574122972463,0.00433585400916843
23.0,14.0,0.0013202565069784986,0.0034944208505201827
24.0,33.0,0.0031120331950207467,0.0028157648516484125
25.0,34.0,0.003206337231233497,0.0022686132006371957
26.0,21.0,0.001980384760467748,0.0018276100064881723
27.0,11.0,0.001037344398340249,0.0014722352673936195
28.0,13.0,0.0012259524707657489,0.0011859049591893306
29.0,7.0,0.0006601282534892493,0.0009552290848776107
30.0,7.0,0.0006601282534892493,0.000769404070605826
31.0,2.0,0.0001886080724254998,0.000619717547821935
32.0,2.0,0.0001886080724254998,0.0004991460995477641
33.0,1.0,9.43040362127499e-05,0.00040202930848409085
34.0,3.0,0.00028291210863824973,0.0003238060899466319
35.0,2.0,0.0001886080724254998,0.0002608016716868615
36.0,5.0,0.0004715201810637495,0.0002100556444028312
37.0,0.0,0.0,0.00016918325237291816
38.0,0.0,0.0,0.00013626354914357072
39.0,2.0,0.0001886080724254998,0.00010974924426310663
40.0,2.0,0.0001886080724254998,8.83940510865091e-05
41.0,2.0,0.0001886080724254998,7.119414787775177e-05
42.0,0.0,0.0,5.734101610957284e-05
43.0,0.0,0.0,4.6183447936481074e-05
44.0,0.0,0.0,3.719694198264908e-05
45.0,0.0,0.0,2.995905169232809e-05
46.0,0.0,0.0,2.4129529052133664e-05
47.0,0.0,0.0,1.9434331200810156e-05
48.0,0.0,0.0,1.5652738623330313e-05
49.0,0.0,0.0,1.2606979666343993e-05
50.0,0.0,0.0,1.0153873800104031e-05
