Length,Freq,Freq_norm,Freq_model
1.0,1335.0,0.05693692156779119,0.039743669180938246
2.0,1879.0,0.08013818398942295,0.07307666064577265
3.0,2208.0,0.09416982982897598,0.09606882087896372
4.0,2464.0,0.10508807096856741,0.10531329108814382
5.0,2172.0,0.09263445216872095,0.10389743010571516
6.0,2044.0,0.08717533159892524,0.09592711459955701
7.0,1921.0,0.08192945792638717,0.08475079470365587
8.0,1609.0,0.06862285153751013,0.07263511844707192
9.0,1528.0,0.06516825180193628,0.0609280053455802
10.0,1284.0,0.05476180321576321,0.05032470696109235
11.0,993.0,0.042350833795368276,0.04110331456460321
12.0,870.0,0.03710496012283021,0.033297799883896584
13.0,702.0,0.029939864374973344,0.02681309524826082
14.0,501.0,0.02136733910521602,0.02149634421680473
15.0,450.0,0.019192220753188043,0.017178199903092193
16.0,366.0,0.015609672879259608,0.013694961801197688
17.0,247.0,0.010534396724527658,0.010899087374887071
18.0,179.0,0.0076342389218236875,0.008663008544160942
19.0,133.0,0.0056723674670533545,0.0068793273055224235
20.0,112.0,0.004776730498571246,0.005459229471399753
21.0,103.0,0.004392886083507485,0.0043301707019549164
22.0,80.0,0.0034119503561223182,0.003433408447686984
23.0,50.0,0.002132468972576449,0.0027216689358452836
24.0,48.0,0.002047170213673391,0.002157075836667244
25.0,37.0,0.0015780270397065723,0.0017093784342442307
26.0,27.0,0.0011515332451912824,0.001354471588478761
27.0,21.0,0.0008956369684821086,0.0010731788833722826
28.0,13.0,0.0005544419328698768,0.0008502629805270467
29.0,14.0,0.0005970913123214057,0.0006736268393416023
30.0,10.0,0.0004264937945152898,0.000533672435669573
31.0,13.0,0.0005544419328698768,0.0004227878795810644
32.0,7.0,0.00029854565616070286,0.0003349383360498756
33.0,4.0,0.00017059751780611592,0.00026534037280905395
34.0,8.0,0.00034119503561223183,0.0002102030815722601
35.0,1.0,4.264937945152898e-05,0.000166522485919694
36.0,3.0,0.00012794813835458694,0.0001319183838834854
37.0,2.0,8.529875890305796e-05,0.00010450493263613359
38.0,1.0,4.264937945152898e-05,8.27880345917561e-05
39.0,5.0,0.0002132468972576449,6.558399562397828e-05
40.0,0.0,0.0,5.1955057604052536e-05
41.0,0.0,0.0,4.115831144234791e-05
42.0,1.0,4.264937945152898e-05,3.260521725871589e-05
43.0,0.0,0.0,2.5829531478994142e-05
44.0,0.0,0.0,2.04618960972448e-05
45.0,0.0,0.0,1.6209706919638007e-05
46.0,2.0,8.529875890305796e-05,1.2841164482221957e-05
47.0,0.0,0.0,1.01726388425165e-05
48.0,0.0,0.0,8.058659813083934e-06
49.0,0.0,0.0,6.383987169094635e-06
50.0,0.0,0.0,5.057328660164721e-06
