Length,Freq,Freq_norm,Freq_model
1.0,537.0,0.05414944035494605,0.037841013958709424
2.0,757.0,0.0763335686195422,0.06813220368591541
3.0,924.0,0.09317333871130382,0.0894620780259611
4.0,901.0,0.09085408893818696,0.09901291087535397
5.0,857.0,0.08641726328526772,0.09909292079121503
6.0,876.0,0.08833316527175557,0.09301017424560079
7.0,786.0,0.0792578400726026,0.08360847600492569
8.0,720.0,0.07260260159322375,0.07292051317503924
9.0,654.0,0.06594736311384491,0.06223614664469229
10.0,558.0,0.05626701623474841,0.052284875206609016
11.0,423.0,0.04265402843601896,0.043416031295202356
12.0,388.0,0.039124735303015024,0.03574088927496944
13.0,296.0,0.029847736210547544,0.02923315772813821
14.0,250.0,0.025209236664313805,0.02379514135373423
15.0,203.0,0.02046990017142281,0.0192988123032303
16.0,138.0,0.01391549863870122,0.015609816228723598
17.0,151.0,0.015226378945245539,0.012600463068009712
18.0,115.0,0.01159624886558435,0.01015592372065087
19.0,95.0,0.009579509932439246,0.008176429293429828
20.0,53.0,0.005344358172834527,0.006577252613977584
21.0,52.0,0.0052435212261772715,0.00528756410658856
22.0,40.0,0.0040334778662902086,0.004248807133605279
23.0,13.0,0.0013108803065443179,0.0034129565259314377
24.0,35.0,0.0035292931330039327,0.0027408520980799263
25.0,23.0,0.0023192497731168702,0.0022006971430839012
26.0,14.0,0.001411717253201573,0.0017667538687982003
27.0,9.0,0.000907532519915297,0.001418236346510429
28.0,11.0,0.0011092064132298073,0.0011383859493008825
29.0,7.0,0.0007058586266007865,0.0009137077401183659
30.0,9.0,0.000907532519915297,0.0007333447499013877
31.0,3.0,0.0003025108399717657,0.0005885681446170491
32.0,2.0,0.00020167389331451045,0.00047236351879784464
33.0,1.0,0.00010083694665725522,0.00037909619208833796
34.0,3.0,0.0003025108399717657,0.0003042410113205492
35.0,3.0,0.0003025108399717657,0.00024416457336607673
36.0,5.0,0.0005041847332862761,0.00019594990299251085
37.0,0.0,0.0,0.00015725542945705528
38.0,0.0,0.0,0.00012620162254190547
39.0,2.0,0.00020167389331451045,0.00010127990457039685
40.0,2.0,0.00020167389331451045,8.127948551330086e-05
41.0,1.0,0.00010083694665725522,6.52286087701948e-05
42.0,0.0,0.0,5.234737761634966e-05
43.0,0.0,0.0,4.2009884599121144e-05
44.0,0.0,0.0,3.37138121237397e-05
45.0,0.0,0.0,2.7056031956554678e-05
46.0,0.0,0.0,2.1713020806388117e-05
47.0,0.0,0.0,1.7425141967253945e-05
48.0,0.0,0.0,1.3984030169872138e-05
49.0,0.0,0.0,1.1222467178615955e-05
50.0,0.0,0.0,9.006256469330968e-06
