Length,Freq,Freq_norm,Freq_model
1.0,214.0,0.05670376258611553,0.04800220732122018
2.0,482.0,0.127715951245363,0.10104485536184551
3.0,381.0,0.10095389507154214,0.12572302813121516
4.0,375.0,0.09936406995230525,0.11839670096826711
5.0,315.0,0.0834658187599364,0.10199350431379345
6.0,371.0,0.09830418653948066,0.08539730287361362
7.0,252.0,0.06677265500794913,0.0708741609736448
8.0,227.0,0.060148383677795444,0.05866638271058643
9.0,270.0,0.07154213036565978,0.04852443015955161
10.0,155.0,0.04107048224695284,0.04012716490083912
11.0,119.0,0.03153153153153153,0.03318109921305427
12.0,91.0,0.024112347641759405,0.027436963933517515
13.0,112.0,0.0296767355590885,0.022687124275706377
14.0,129.0,0.03418124006359301,0.018759546932695756
15.0,75.0,0.01987281399046105,0.015511903990084862
16.0,21.0,0.005564387917329093,0.01282649026468181
17.0,28.0,0.007419183889772125,0.010605973913539757
18.0,35.0,0.009273979862215157,0.008769872328487926
19.0,17.0,0.0045045045045045045,0.007251635840048729
20.0,54.0,0.014308426073131956,0.005996235790897613
21.0,11.0,0.0029146793852676206,0.004958170052905962
22.0,4.0,0.0010598834128245894,0.004099813804898878
23.0,2.0,0.0005299417064122947,0.003390055818050536
24.0,6.0,0.001589825119236884,0.002803170825891706
25.0,3.0,0.000794912559618442,0.0023178871089048797
26.0,5.0,0.0013248542660307366,0.0019166154984214458
27.0,1.0,0.00026497085320614734,0.001584811855019443
28.0,4.0,0.0010598834128245894,0.0013104499143822893
29.0,0.0,0.0,0.0010835853938532516
30.0,0.0,0.0,0.0008959955606739635
31.0,0.0,0.0,0.0007408811980130596
32.0,5.0,0.0013248542660307366,0.0006126201665066094
33.0,0.0,0.0,0.0005065636291177284
34.0,0.0,0.0,0.00041886755346006875
35.0,0.0,0.0,0.00034635338436595094
36.0,0.0,0.0,0.0002863928367590405
37.0,2.0,0.0005299417064122947,0.00023681263313491584
38.0,3.0,0.000794912559618442,0.00019581573284766155
39.0,0.0,0.0,0.00016191619814818627
40.0,2.0,0.0005299417064122947,0.00013388533618572207
41.0,0.0,0.0,0.00011070716488265455
42.0,0.0,0.0,9.15415885377766e-05
43.0,0.0,0.0,7.569394845312799e-05
44.0,0.0,0.0,6.258984494310324e-05
45.0,3.0,0.000794912559618442,5.175431814641742e-05
46.0,0.0,0.0,4.279463304686994e-05
47.0,0.0,0.0,3.5386044743843785e-05
48.0,0.0,0.0,2.9260028032998863e-05
49.0,0.0,0.0,2.419454467684825e-05
50.0,0.0,0.0,2.000599560122877e-05
