Length,Freq,Freq_model
1.0,0.06756756756756757,0.0432453982479174
2.0,0.07829888712241653,0.07514257189258713
3.0,0.09220985691573927,0.09602504379452916
4.0,0.09976152623211447,0.10394520784340094
5.0,0.09220985691573927,0.10203271445791397
6.0,0.08545310015898251,0.0941019401915265
7.0,0.08545310015898251,0.08322590205016445
8.0,0.06995230524642289,0.07148932843367671
9.0,0.06120826709062003,0.06014220617770552
10.0,0.0568362480127186,0.049838059953084726
11.0,0.038950715421303655,0.04084517938906911
12.0,0.035373608903020666,0.033203254052687294
13.0,0.030604133545310015,0.026828824730829183
14.0,0.02424483306836248,0.02158151871759643
15.0,0.021860095389507155,0.017303100546843364
16.0,0.009936406995230525,0.01383886451021995
17.0,0.012718600953895072,0.011048134642391105
18.0,0.007154213036565978,0.008808371960944895
19.0,0.005564387917329093,0.007015742677306734
20.0,0.005961844197138315,0.005583885364351574
21.0,0.00397456279809221,0.004441893548802197
22.0,0.0023847376788553257,0.003532080431881499
23.0,0.001589825119236884,0.0028078211293733864
24.0,0.001589825119236884,0.002231609588093943
25.0,0.001589825119236884,0.0017733786782543899
26.0,0.001589825119236884,0.001409084962359423
27.0,0.000794912559618442,0.0011195368815761053
28.0,0.000794912559618442,0.0008894359706456147
29.0,0.0011923688394276629,0.0007065988982813197
30.0,0.0,0.0005613299651608124
31.0,0.000397456279809221,0.00044591710893930353
32.0,0.000794912559618442,0.0003542283451401291
33.0,0.000397456279809221,0.0002813893432382807
34.0,0.000397456279809221,0.00022352623779052557
35.0,0.000397456279809221,0.00017756071340110295
36.0,0.000397456279809221,0.00014104687572940124
37.0,0.0,0.00011204146637866002
38.0,0.000397456279809221,8.900065141653883e-05
39.0,0.0,7.069796856382945e-05
40.0,0.0,5.6159110378359145e-05
41.0,0.0,4.4610097487421295e-05
42.0,0.0,3.5436097567147515e-05
43.0,0.0,2.8148706116745992e-05
44.0,0.0,2.2359951908739018e-05
45.0,0.0,1.776164592321059e-05
46.0,0.0,1.4108975867946272e-05
47.0,0.0,1.1207473742658761e-05
48.0,0.0,8.902663100908691e-06
49.0,0.0,7.071835111876064e-06
50.0,0.0,5.617515737741262e-06
